Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN
8/5/14,4:00,N,1.90,2.52,2.89,1.00
8/5/14,5:00,N,1.00,2.61,2.89,1.00
8/5/14,6:00,N,3.11,3.15,3.00,1.00
8/5/14,7:00,N,8.00,8.84,5.24,1.00
8/5/14,8:00,N,6.36,5.73,5.00,1.00
8/5/14,9:00,N,6.95,5.00,5.00,1.00
8/5/14,10:00,N,10.60,6.34,5.00,1.00
8/5/14,11:00,N,5.71,4.94,6.42,1.00
8/5/14,12:00,N,3.50,8.75,8.75,1.00
8/5/14,13:00,N,2.13,7.75,11.09,1.00
8/5/14,14:00,N,3.11,10.01,13.35,1.00
8/5/14,15:00,N,3.50,14.35,17.69,5.09
8/5/14,16:00,N,3.50,25.34,30.52,6.69
8/5/14,17:00,N,4.51,31.14,38.50,12.38
8/5/14,18:00,N,3.50,13.24,19.07,5.09
8/5/14,19:00,N,7.19,11.36,13.36,2.59
8/5/14,20:00,N,9.70,10.54,12.54,2.59
8/5/14,21:00,N,6.24,6.59,9.28,2.59
8/5/14,22:00,N,6.51,7.05,7.17,2.59
8/5/14,23:00,N,4.52,5.77,5.77,1.00
8/5/14,24:00:00,N,7.53,3.07,4.00,1.00
8/6/14,1:00,N,6.60,5.31,3.52,1.00
8/6/14,2:00,N,2.11,4.00,3.00,1.00
8/6/14,3:00,N,2.11,4.00,2.89,1.00
8/6/14,4:00,N,1.77,2.89,2.89,1.00
8/6/14,5:00,N,1.37,3.00,2.70,1.00
8/6/14,6:00,N,4.00,4.54,3.00,1.00
8/6/14,7:00,N,9.16,7.45,5.91,1.00
8/6/14,8:00,N,8.63,3.51,4.82,1.00
8/6/14,9:00,N,7.05,3.30,4.35,1.00
8/6/14,10:00,N,9.11,3.58,5.58,1.00
8/6/14,11:00,N,3.80,5.28,5.70,1.00
8/6/14,12:00,N,2.61,10.24,11.24,1.00
8/6/14,13:00,N,2.00,8.59,11.99,1.00
8/6/14,14:00,N,6.00,9.40,12.89,1.00
8/6/14,15:00,N,4.00,15.34,18.99,5.50
8/6/14,16:00,N,5.00,26.61,32.95,6.34
8/6/14,17:00,N,8.11,34.71,45.22,9.68
8/6/14,18:00,N,7.50,16.11,22.59,5.72
8/6/14,19:00,N,10.00,10.87,13.87,5.09
8/6/14,20:00,N,14.11,9.30,11.30,2.61
8/6/14,21:00,N,3.97,7.21,10.61,2.00
8/6/14,22:00,N,7.38,7.54,10.34,2.61
8/6/14,23:00,N,4.00,6.39,7.17,1.00
8/6/14,24:00:00,N,6.55,4.07,4.42,1.00
8/7/14,1:00,N,5.29,3.74,3.74,1.00
8/7/14,2:00,N,2.04,3.81,2.59,1.00
8/7/14,3:00,N,2.11,3.00,2.89,1.00
8/7/14,4:00,N,2.11,2.89,2.89,1.00
8/7/14,5:00,N,0.50,3.00,2.89,1.00
8/7/14,6:00,N,5.22,3.31,3.00,1.00
8/7/14,7:00,N,8.01,6.93,4.56,1.00
8/7/14,8:00,N,4.19,4.00,4.00,1.00
8/7/14,9:00,N,7.71,3.12,2.71,1.00
8/7/14,10:00,N,8.61,4.25,4.56,1.00
8/7/14,11:00,N,3.50,6.00,6.00,1.00
8/7/14,12:00,N,3.00,8.37,9.24,2.00
8/7/14,13:00,N,2.11,9.04,9.04,2.00
8/7/14,14:00,N,3.50,10.96,12.11,5.00
8/7/14,15:00,N,3.50,22.28,24.38,21.98
8/7/14,16:00,N,3.50,59.43,68.19,50.01
8/7/14,17:00,N,6.49,56.14,69.92,50.01
8/7/14,18:00,N,4.72,23.83,30.52,24.52
8/7/14,19:00,N,8.11,12.45,15.80,13.40
8/7/14,20:00,N,9.11,9.04,9.04,7.84
8/7/14,21:00,N,3.94,6.29,8.29,5.09
8/7/14,22:00,N,7.50,6.64,9.64,4.22
8/7/14,23:00,N,3.50,7.19,10.00,1.00
8/7/14,24:00:00,N,4.94,3.00,4.56,1.00
8/8/14,1:00,N,14.11,5.17,3.38,2.61
8/8/14,2:00,N,3.50,4.00,2.89,2.59
8/8/14,3:00,N,4.00,3.00,2.89,2.59
8/8/14,4:00,N,4.00,2.61,2.89,2.59
8/8/14,5:00,N,3.13,3.00,2.95,2.61
8/8/14,6:00,N,6.72,4.63,3.00,2.61
8/8/14,7:00,N,19.50,10.00,4.61,9.25
8/8/14,8:00,N,19.50,3.12,2.68,2.82
8/8/14,9:00,N,20.00,6.90,4.61,6.60
8/8/14,10:00,N,20.00,7.25,7.25,6.95
8/8/14,11:00,N,8.11,13.16,13.16,29.12
8/8/14,12:00,N,5.00,13.57,13.57,34.26
8/8/14,13:00,N,3.50,20.42,21.60,71.55
8/8/14,14:00,N,4.52,60.49,65.49,70.92
8/8/14,15:00,N,6.54,151.08,164.37,164.37
8/8/14,16:00,N,8.11,404.00,410.00,400.00
8/8/14,17:00,N,10.00,450.14,462.70,435.70
8/8/14,18:00,N,6.35,205.90,218.94,214.74
8/8/14,19:00,N,8.45,33.09,38.09,50.72
8/8/14,20:00,N,8.55,12.37,12.37,25.00
8/8/14,21:00,N,4.62,5.95,7.31,17.49
8/8/14,22:00,N,7.50,8.11,8.11,18.53
8/8/14,23:00,N,4.88,9.89,10.00,8.99
8/8/14,24:00:00,N,5.98,4.91,4.91,4.16
8/9/14,1:00,N,4.00,5.89,4.89,2.61
8/9/14,2:00,N,1.00,4.51,2.89,2.59
8/9/14,3:00,N,2.11,4.00,2.89,2.62
8/9/14,4:00,N,0.50,3.17,2.89,2.62
8/9/14,5:00,N,0.50,3.53,2.89,3.00
8/9/14,6:00,N,3.71,6.63,3.00,4.22
8/9/14,7:00,N,8.11,12.93,4.22,2.81
8/9/14,8:00,N,8.11,5.02,4.00,2.61
8/9/14,9:00,N,14.11,6.83,4.10,3.98
8/9/14,10:00,N,14.61,4.84,2.77,4.54
8/9/14,11:00,N,5.79,10.00,5.32,10.00
8/9/14,12:00,N,3.50,9.70,9.70,9.70
8/9/14,13:00,N,2.21,12.60,13.63,12.61
8/9/14,14:00,N,5.00,18.13,18.13,17.99
8/9/14,15:00,N,3.72,27.07,27.11,26.08
8/9/14,16:00,N,4.58,57.09,60.70,60.70
8/9/14,17:00,N,8.11,64.51,69.20,69.20
8/9/14,18:00,N,8.11,42.14,45.75,45.75
8/9/14,19:00,N,12.37,18.82,23.18,23.00
8/9/14,20:00,N,14.11,14.30,14.30,15.22
8/9/14,21:00,N,3.50,8.11,10.00,11.92
8/9/14,22:00,N,7.50,7.91,7.91,7.16
8/9/14,23:00,N,5.75,7.11,7.11,4.22
8/9/14,24:00:00,N,8.11,5.85,5.29,3.88
8/10/14,1:00,N,4.00,5.60,4.00,2.59
8/10/14,2:00,N,2.11,4.00,2.89,2.59
8/10/14,3:00,N,1.00,3.43,2.75,2.59
8/10/14,4:00,N,0.50,3.03,2.61,2.59
8/10/14,5:00,N,1.00,3.18,2.86,2.59
8/10/14,6:00,N,2.61,4.32,2.89,2.59
8/10/14,7:00,N,8.63,8.73,2.11,2.59
8/10/14,8:00,N,5.10,3.34,2.11,2.59
8/10/14,9:00,N,9.11,6.50,2.17,2.59
8/10/14,10:00,N,8.61,4.43,4.43,4.22
8/10/14,11:00,N,6.46,8.99,4.61,8.99
8/10/14,12:00,N,3.50,10.00,9.70,10.00
8/10/14,13:00,N,2.21,8.31,8.31,8.31
8/10/14,14:00,N,3.50,19.79,19.79,19.79
8/10/14,15:00,N,3.81,34.82,34.82,34.82
8/10/14,16:00,N,4.20,51.47,56.45,60.01
8/10/14,17:00,N,8.11,60.37,65.98,65.45
8/10/14,18:00,N,8.00,46.14,52.01,60.01
8/10/14,19:00,N,10.00,26.50,30.31,34.27
8/10/14,20:00,N,14.11,12.77,12.77,15.11
8/10/14,21:00,N,3.50,7.63,7.63,9.94
8/10/14,22:00,N,6.51,7.31,7.31,6.91
8/10/14,23:00,N,4.00,9.99,9.99,9.24
8/10/14,24:00:00,N,4.26,7.51,7.51,2.00
8/11/14,1:00,N,5.00,4.00,4.00,1.00
8/11/14,2:00,N,2.11,4.00,2.44,1.00
8/11/14,3:00,N,2.11,3.20,2.89,2.59
8/11/14,4:00,N,2.11,3.00,2.89,2.59
8/11/14,5:00,N,1.57,3.00,2.89,2.59
8/11/14,6:00,N,3.16,4.08,2.89,2.59
8/11/14,7:00,N,8.67,10.00,3.22,2.61
8/11/14,8:00,N,5.00,3.34,2.29,2.59
8/11/14,9:00,N,5.80,4.83,4.83,3.00
8/11/14,10:00,N,8.11,5.00,5.00,3.00
8/11/14,11:00,N,3.50,7.85,7.19,7.55
8/11/14,12:00,N,2.72,10.12,9.12,8.92
8/11/14,13:00,N,2.14,13.68,13.68,11.68
8/11/14,14:00,N,3.50,33.62,33.62,28.62
8/11/14,15:00,N,6.33,67.94,70.57,61.94
8/11/14,16:00,N,7.66,122.18,125.79,125.78
8/11/14,17:00,N,14.31,146.11,152.33,152.33
8/11/14,18:00,N,4.75,56.38,59.99,56.39
8/11/14,19:00,N,8.25,16.11,19.33,21.36
8/11/14,20:00,N,11.20,10.70,10.70,15.00
8/11/14,21:00,N,4.74,8.07,8.07,8.07
8/11/14,22:00,N,8.11,9.18,9.18,8.88
8/11/14,23:00,N,4.00,10.01,11.46,4.22
8/11/14,24:00:00,N,4.00,8.33,8.33,2.61
8/12/14,1:00,N,5.61,5.49,4.01,1.00
8/12/14,2:00,N,2.01,4.00,2.89,1.00
8/12/14,3:00,N,2.01,3.20,2.89,1.00
8/12/14,4:00,N,1.00,3.00,2.89,1.00
8/12/14,5:00,N,0.50,3.11,2.86,2.59
8/12/14,6:00,N,2.99,3.60,2.89,2.59
8/12/14,7:00,N,8.09,6.24,4.00,1.00
8/12/14,8:00,N,6.42,3.24,3.24,1.00
8/12/14,9:00,N,5.98,4.00,4.00,1.00
8/12/14,10:00,N,8.11,3.00,4.21,1.00
8/12/14,11:00,N,3.68,5.40,5.40,3.70
8/12/14,12:00,N,3.50,12.60,12.72,11.51
8/12/14,13:00,N,2.11,12.73,13.75,11.48
8/12/14,14:00,N,6.00,16.29,18.10,14.29
8/12/14,15:00,N,6.00,26.42,27.10,25.00
8/12/14,16:00,N,5.63,44.16,46.35,44.80
8/12/14,17:00,N,8.31,44.64,48.16,48.16
8/12/14,18:00,N,8.11,24.58,25.70,24.58
8/12/14,19:00,N,10.00,12.00,15.52,11.76
8/12/14,20:00,N,11.95,12.43,12.43,12.07
8/12/14,21:00,N,5.00,6.88,9.55,6.13
8/12/14,22:00,N,7.31,6.12,7.31,5.31
8/12/14,23:00,N,3.50,5.11,7.11,3.00
8/12/14,24:00:00,N,4.99,5.40,5.40,1.00
8/13/14,1:00,N,6.56,4.90,3.76,1.00
8/13/14,2:00,N,2.00,4.00,2.89,1.00
8/13/14,3:00,N,1.00,3.20,2.86,2.59
8/13/14,4:00,N,1.00,3.00,2.71,2.59
8/13/14,5:00,N,0.50,3.20,2.89,2.59
8/13/14,6:00,N,2.11,3.53,2.89,2.59
8/13/14,7:00,N,8.11,5.36,4.00,2.59
8/13/14,8:00,N,7.97,4.44,3.98,2.59
8/13/14,9:00,N,9.38,3.48,3.48,2.59
8/13/14,10:00,N,14.11,2.82,3.77,2.59
8/13/14,11:00,N,5.39,5.25,5.25,4.22
8/13/14,12:00,N,3.09,11.00,11.67,10.00
8/13/14,13:00,N,2.11,12.68,14.67,12.93
8/13/14,14:00,N,8.11,18.20,18.41,18.20
8/13/14,15:00,N,6.00,23.00,23.91,23.00
8/13/14,16:00,N,4.00,36.08,39.67,39.67
8/13/14,17:00,N,6.21,44.01,51.80,51.80
8/13/14,18:00,N,8.11,19.47,23.06,22.20
8/13/14,19:00,N,10.00,13.22,16.81,16.26
8/13/14,20:00,N,13.56,11.79,12.79,12.04
8/13/14,21:00,N,6.00,6.73,8.98,6.98
8/13/14,22:00,N,8.11,3.90,7.31,5.00
8/13/14,23:00,N,4.35,6.14,6.14,2.00
8/13/14,24:00:00,N,14.11,3.89,4.08,1.00
8/14/14,1:00,N,6.89,4.99,3.39,1.00
8/14/14,2:00,N,2.11,4.00,3.00,1.00
8/14/14,3:00,N,2.11,3.20,2.89,2.40
8/14/14,4:00,N,1.00,3.00,2.89,2.40
8/14/14,5:00,N,0.84,3.00,2.89,2.59
8/14/14,6:00,N,2.11,4.00,2.94,2.59
8/14/14,7:00,N,7.28,5.35,4.00,1.00
8/14/14,8:00,N,8.11,5.00,3.98,1.00
8/14/14,9:00,N,7.69,3.40,3.40,1.00
8/14/14,10:00,N,8.11,3.45,3.60,1.00
8/14/14,11:00,N,4.43,6.32,6.76,3.98
8/14/14,12:00,N,3.92,10.34,10.34,10.00
8/14/14,13:00,N,2.18,10.00,10.00,10.00
8/14/14,14:00,N,4.00,12.78,14.19,12.00
8/14/14,15:00,N,5.13,18.94,22.11,19.11
8/14/14,16:00,N,4.00,32.39,35.95,29.53
8/14/14,17:00,N,8.21,43.09,50.00,38.00
8/14/14,18:00,N,8.11,18.44,22.00,19.62
8/14/14,19:00,N,10.00,13.43,14.70,12.60
8/14/14,20:00,N,13.76,10.43,10.43,10.00
8/14/14,21:00,N,4.67,5.63,7.75,5.63
8/14/14,22:00,N,8.11,3.90,6.70,3.60
8/14/14,23:00,N,5.44,5.05,5.05,1.54
8/14/14,24:00:00,N,11.59,4.57,4.57,1.00
8/15/14,1:00,N,5.95,5.10,3.50,1.00
8/15/14,2:00,N,2.11,3.42,3.00,1.00
8/15/14,3:00,N,2.11,3.00,3.00,2.59
8/15/14,4:00,N,2.01,2.67,3.00,2.59
8/15/14,5:00,N,2.11,2.77,3.00,2.59
8/15/14,6:00,N,2.19,3.80,3.00,2.59
8/15/14,7:00,N,7.20,6.98,4.50,2.59
8/15/14,8:00,N,4.77,5.00,4.00,2.59
8/15/14,9:00,N,6.66,4.00,4.00,2.59
8/15/14,10:00,N,8.67,4.92,4.92,2.61
8/15/14,11:00,N,3.90,7.37,8.17,6.37
8/15/14,12:00,N,2.22,10.41,11.26,9.41
8/15/14,13:00,N,2.11,10.74,11.85,9.92
8/15/14,14:00,N,4.00,14.91,15.49,13.16
8/15/14,15:00,N,4.00,25.00,28.05,23.00
8/15/14,16:00,N,4.00,42.19,49.16,41.74
8/15/14,17:00,N,6.01,49.02,59.76,48.90
8/15/14,18:00,N,5.00,21.82,25.51,21.82
8/15/14,19:00,N,8.11,10.51,14.44,12.61
8/15/14,20:00,N,9.11,10.47,11.97,10.47
8/15/14,21:00,N,4.00,7.39,10.39,6.64
8/15/14,22:00,N,4.43,5.84,8.53,5.09
8/15/14,23:00,N,3.68,3.12,6.12,1.00
8/15/14,24:00:00,N,5.93,5.39,4.60,2.61
8/16/14,1:00,N,6.17,5.40,4.00,1.77
8/16/14,2:00,N,2.01,3.15,3.00,1.87
8/16/14,3:00,N,2.11,3.23,3.00,2.59
8/16/14,4:00,N,1.00,2.61,2.61,2.59
8/16/14,5:00,N,1.51,3.00,2.39,2.59
8/16/14,6:00,N,2.88,3.34,3.00,2.59
8/16/14,7:00,N,8.72,6.40,4.48,2.59
8/16/14,8:00,N,7.21,5.00,4.00,2.59
8/16/14,9:00,N,5.35,5.54,4.48,2.59
8/16/14,10:00,N,6.72,4.57,4.48,3.00
8/16/14,11:00,N,4.53,4.70,5.10,4.22
8/16/14,12:00,N,1.59,7.76,9.76,4.22
8/16/14,13:00,N,2.21,8.48,11.53,7.73
8/16/14,14:00,N,4.33,12.43,15.90,12.40
8/16/14,15:00,N,4.00,16.86,20.86,14.00
8/16/14,16:00,N,4.88,30.51,37.25,28.75
8/16/14,17:00,N,8.21,32.62,45.41,36.32
8/16/14,18:00,N,7.58,19.01,24.53,18.53
8/16/14,19:00,N,10.00,10.65,14.94,10.65
8/16/14,20:00,N,10.00,12.57,12.72,11.57
8/16/14,21:00,N,3.94,6.83,9.93,7.53
8/16/14,22:00,N,4.00,9.41,9.75,8.66
8/16/14,23:00,N,3.68,6.94,6.94,1.58
8/16/14,24:00:00,N,5.03,4.69,4.69,1.45
8/17/14,1:00,N,8.11,5.00,4.00,1.68
8/17/14,2:00,N,3.11,3.00,3.00,1.80
8/17/14,3:00,N,4.00,3.00,3.00,2.59
8/17/14,4:00,N,4.00,2.42,2.42,2.59
8/17/14,5:00,N,4.51,3.00,2.58,2.59
8/17/14,6:00,N,8.24,3.34,3.00,2.59
8/17/14,7:00,N,14.46,6.22,4.48,2.59
8/17/14,8:00,N,8.45,4.01,4.00,2.59
8/17/14,9:00,N,5.52,5.54,4.48,2.59
8/17/14,10:00,N,6.93,5.66,4.62,3.00
8/17/14,11:00,N,3.77,3.00,4.48,3.00
8/17/14,12:00,N,2.11,8.21,8.74,4.22
8/17/14,13:00,N,2.11,7.92,11.39,7.17
8/17/14,14:00,N,4.00,12.75,16.22,12.04
8/17/14,15:00,N,4.00,16.00,20.00,14.00
8/17/14,16:00,N,4.00,28.18,36.86,24.18
8/17/14,17:00,N,8.11,32.61,44.96,27.22
8/17/14,18:00,N,6.30,16.35,26.33,14.35
8/17/14,19:00,N,12.59,10.20,15.39,10.20
8/17/14,20:00,N,10.00,10.38,13.30,9.38
8/17/14,21:00,N,4.00,7.00,10.57,6.75
8/17/14,22:00,N,4.00,8.21,10.66,7.91
8/17/14,23:00,N,4.00,4.18,4.48,1.28
8/17/14,24:00:00,N,4.96,7.06,5.86,2.61
8/18/14,1:00,N,8.11,5.00,4.00,1.00
8/18/14,2:00,N,3.45,3.00,3.00,1.00
8/18/14,3:00,N,3.00,2.97,2.98,2.59
8/18/14,4:00,N,3.42,2.50,2.41,2.43
8/18/14,5:00,N,3.00,2.97,2.61,2.59
8/18/14,6:00,N,6.01,3.34,3.00,2.59
8/18/14,7:00,N,11.12,6.00,4.80,2.59
8/18/14,8:00,N,8.11,4.00,4.00,2.59
8/18/14,9:00,N,7.40,5.00,4.00,1.00
8/18/14,10:00,N,6.74,4.21,4.70,2.70
8/18/14,11:00,N,4.00,5.83,5.86,3.00
8/18/14,12:00,N,2.46,9.85,10.85,8.25
8/18/14,13:00,N,2.11,9.79,9.79,7.79
8/18/14,14:00,N,4.00,13.92,14.37,12.17
8/18/14,15:00,N,4.06,27.20,33.02,25.20
8/18/14,16:00,N,4.00,48.64,61.56,48.56
8/18/14,17:00,N,6.00,53.40,67.89,53.40
8/18/14,18:00,N,5.24,20.05,32.02,20.73
8/18/14,19:00,N,9.14,8.83,15.24,13.14
8/18/14,20:00,N,10.00,11.31,12.81,11.31
8/18/14,21:00,N,4.00,7.31,11.53,8.39
8/18/14,22:00,N,4.00,6.73,10.18,6.43
8/18/14,23:00,N,4.90,3.81,6.05,2.61
8/18/14,24:00:00,N,6.92,5.20,4.00,1.00
8/19/14,1:00,N,5.50,3.00,2.89,1.49
8/19/14,2:00,N,2.11,3.00,2.89,1.49
8/19/14,3:00,N,2.04,3.00,2.22,2.59
8/19/14,4:00,N,1.75,2.11,2.11,2.59
8/19/14,5:00,N,1.54,2.61,2.61,2.59
8/19/14,6:00,N,3.05,3.31,2.89,2.59
8/19/14,7:00,N,6.86,5.82,4.41,3.00
8/19/14,8:00,N,5.65,4.00,4.00,2.61
8/19/14,9:00,N,6.21,5.80,4.42,3.00
8/19/14,10:00,N,7.09,5.00,4.42,3.00
8/19/14,11:00,N,4.00,4.52,6.30,4.22
8/19/14,12:00,N,4.00,9.61,9.61,8.61
8/19/14,13:00,N,2.21,9.81,12.37,11.92
8/19/14,14:00,N,5.71,15.38,18.77,18.77
8/19/14,15:00,N,4.00,17.97,23.29,23.70
8/19/14,16:00,N,5.49,32.13,40.68,40.81
8/19/14,17:00,N,8.11,39.30,49.29,49.29
8/19/14,18:00,N,5.69,12.81,20.49,20.49
8/19/14,19:00,N,10.00,8.31,11.72,13.60
8/19/14,20:00,N,10.00,9.63,10.40,10.40
8/19/14,21:00,N,4.00,5.13,8.54,8.54
8/19/14,22:00,N,7.58,6.37,8.72,8.42
8/19/14,23:00,N,5.68,5.26,5.33,2.61
8/19/14,24:00:00,N,6.26,4.74,4.28,1.79
8/20/14,1:00,N,6.64,4.98,3.16,1.00
8/20/14,2:00,N,2.11,3.10,3.00,1.00
8/20/14,3:00,N,2.11,3.00,2.89,2.59
8/20/14,4:00,N,1.25,2.67,2.79,2.52
8/20/14,5:00,N,1.65,3.00,2.89,2.59
8/20/14,6:00,N,2.11,3.34,3.00,2.59
8/20/14,7:00,N,7.72,5.04,3.49,2.59
8/20/14,8:00,N,6.88,3.83,3.83,2.59
8/20/14,9:00,N,7.80,5.16,4.17,2.59
8/20/14,10:00,N,11.85,5.50,4.44,2.59
8/20/14,11:00,N,6.00,3.30,4.44,3.00
8/20/14,12:00,N,4.00,7.42,7.42,6.42
8/20/14,13:00,N,2.05,8.00,10.43,8.00
8/20/14,14:00,N,4.00,13.14,15.07,13.14
8/20/14,15:00,N,4.00,20.75,21.86,21.86
8/20/14,16:00,N,3.36,35.21,38.64,37.23
8/20/14,17:00,N,5.00,40.77,47.10,45.00
8/20/14,18:00,N,4.00,15.07,17.97,17.93
8/20/14,19:00,N,7.09,9.77,11.92,9.77
8/20/14,20:00,N,7.55,7.11,7.27,5.86
8/20/14,21:00,N,4.00,4.57,6.78,5.09
8/20/14,22:00,N,6.26,3.67,5.39,5.09
8/20/14,23:00,N,4.33,5.81,8.81,2.61
8/20/14,24:00:00,N,5.58,4.44,4.44,1.33
8/21/14,1:00,N,5.66,5.31,3.14,1.49
8/21/14,2:00,N,2.61,3.40,2.89,1.00
8/21/14,3:00,N,2.61,3.00,3.00,2.59
8/21/14,4:00,N,2.27,2.21,2.89,2.59
8/21/14,5:00,N,2.11,2.89,3.00,2.59
8/21/14,6:00,N,4.50,4.80,3.08,2.59
8/21/14,7:00,N,7.34,5.92,4.00,2.59
8/21/14,8:00,N,6.84,4.35,3.00,2.59
8/21/14,9:00,N,7.77,5.36,4.00,2.59
8/21/14,10:00,N,8.11,4.31,3.14,2.59
8/21/14,11:00,N,5.04,4.11,4.52,3.11
8/21/14,12:00,N,4.00,7.37,7.37,6.97
8/21/14,13:00,N,2.11,8.27,9.74,8.00
8/21/14,14:00,N,3.10,11.43,14.20,13.40
8/21/14,15:00,N,3.43,15.89,19.40,19.30
8/21/14,16:00,N,2.63,32.60,37.30,30.87
8/21/14,17:00,N,4.47,36.02,42.53,36.02
8/21/14,18:00,N,4.00,15.19,18.89,15.69
